#,시설명,온도,태그,메모,가격,특이
1,강변스파랜드,-,"bulgama,cold-bath,dry-sauna,indoor-rest",추천해주신 강변스파랜드도 다녀와봤는데  여탕 냉탕은 5도까지는  아니었지만 정말 차가웠습니다,-,-
2,고려사우나,-,"jjimjilbang,parking",-,-,-
3,골드로즈,-,"bulgama,jjimjilbang,open-air-bath",1. 서울사우나/ 깨끗합니다 뜨겁습니다 다만 쉴 곳이 없습니다 2. 롯데사우나/ 관리 잘|2. 롯데사우나/ 관리 잘 안됩니다 로컬목욕탕 그 자체,-,-
4,국제광천수,-,"cold-bath,dry-sauna,hot-bath,wet-sauna",진 온천이라 매우 청결했으며 특히 온천에 입장하면 히노끼 냄새가 기분좋게 코를 찌르는게 기,-,-
5,금진온천,-,"dry-sauna,hot-bath,massage,open-air-bath,very-hot-bath,wet-s",온천수라 그런지 물이 정말 좋습니다. 탕에 몸을 담그고 나오면 피부가 한층 부드러워지고|체적으로 쾌적하게 관리되고 있어 편하게 온천욕 즐기기 좋,-,식 사우나는 현재 공사 중입니다.  역시 온천탕답게 미네랄 온천수라 그런지 물이 정말 좋습|좋은편입니다!!!!꿀팁!!! 바늘은 16호이상 미끼는 갯지렁이나 개불 사용하시면 됩니다!!
6,금천파크,-,"hot-bath,open-air-bath",여긴 다 모르겠고 노천탕에서 바라보는 설산뷰는 인생 최고 뷰였습니다|부산오시면 꼭 한번 가보시길 추천드려요 ♨️♨️,-,-
7,네이버한방스파,-,dry-sauna,-,-,-
8,네이처스파,열46,"bulgama,food,hot-bath,open-air-bath,outdoor-rest,parking,ver",사람 정말 많아서 관리가 잘 안된다라는 글도 봤는데 실제로 어떤가요? 주말은 어쩔수 없고|머리카락이나 불순물이 떠다닙니더. 탕 주변도 잘 안닦는,-,-
9,능암탄산,-,-,얼마전에 갔던 능암탄산온천은 같은 금액에 사용가능시간 (100초였던것으로 기억)이 차감되는 형식에 바람세기도 강해서 좋았습니다,-,-
10,대성관,-,-,지내시는 곳이 어딘지 알려주시면 근처로 해서 추천드려볼게요 ♨️♨️|부산 현지인분들 추천해주세요~,-,-
11,대영온천,온40 열44 냉18|21 건94 습82,"cold-bath,dry-sauna,hot-bath,very-hot-bath,wet-sauna",-,-,-
12,더메디스파,"냉16|22|23 건98|99 노천tattoo-friendly,cold-bath,dry-sauna,indoor-rest,outdoor-rest,wet-sauna",냉탕온도(16도)로 생각보다 즐겁게 루틴|이전 냉탕온도(22-23도) 높았음|깨끗하다는 아니지만 더럽다는 아,-,-,-
13,더앤온천,온39 냉19 건67,"cold-bath,dry-sauna,hot-bath,open-air-bath,very-hot-bath,wet",-,-,-
14,더파크스파랜드,-,-,대부분 목욕탕이 청결부분이 좀 그렇더라구요  찾다가 목동 더파크스파랜드 갔었는데 호텔 사 | 이쪽 지역에서는 좋았던 것 같아요|혹시 마포쪽 추천,-,-
15,덕구온천,온42 열44 냉24 노천42,"cold-bath,dry-sauna,hot-bath,indoor-rest,jjimjilbang,open-ai",다만 냉탕온도가 아쉬웠고 물냄새가 좀나는편이였습니다,-,-
16,도미인,온39 냉18 건85,"cold-bath,dry-sauna,food,hot-bath,open-air-bath,parking,very",좀 많이 작은데 깨끗해요 헬스장이랑 바로붙어있어서 운동하고 풍덩하기 좋습니다 투숙객이 1 | ❄ 온탕 아이스필로우 있음 (만족도 높음)|강남 도,15000,특징  기존 호텔 리뉴얼 → 전반적으로 일본 비즈니스 호텔 느낌  객실 컨디션 무난 (크기|인같은 도미인으로 리뉴얼했더라구용 ㅎㅎ객실도 탕도 정말 딱 제 기준 가이드에 간당간당한데|식   💡개인적인 꿀팁💡 1. 메인탕 콜드 필로우에 귀를 살짝 대보면 물 떨어지는 소리가|냉탕 물로 작은 수건 적시기 -> 메인탕 콜드 필로우에서 시원한 수건 얼굴에 덮고 휴식
17,라성스파,-,"cold-bath,dry-sauna,very-hot-bath",-,-,-
18,레몬사우나,온40 열42|43 냉15 건93 습64,"cold-bath,dry-sauna,hot-bath,indoor-rest,open-air-bath,outdo",로 너무 깔끔하고 깨끗한 사우나 이용 할 수 있는게 장점 같습니다.|귀여운 포인트. 수질 및 컨디션 전반적으로 깨끗한 편(중상 수준)이며 관리 ,8600,레몬사우나 내기욕 꿀팁 : 탕안에 세신 침대가 두개가 있는데 하나는 거의 사용 안 하셔서|우나 후기 정리  리뉴얼한 동네 목욕탕의 정석. 규모는 작지만 구성은 꽤 알찬 편입니다.
19,로데오스파,-,"bulgama,cold-bath,massage",-,-,-
20,보리사우나,-,"bulgama,cold-bath,hot-bath",-,-,-
21,블루스파,-,scrub,-,-,-
22,블루오션,-,dry-sauna,-,-,브 위에서 물적신 수건 짜던 어머님이 생각나네요...
23,산방산,-,"cold-bath,dry-sauna,food,hot-bath,open-air-bath,outdoor-rest",제주 바람 맞으면서 힐링 가능|어제 산방산 탄산 온천 다녀왔는데 너무 좋았어요,10000,-
24,삼호궁전,-,"cold-bath,jjimjilbang,scrub","인생사우나는 포시즌스|저는 삼호궁전사우나를 좋아하는데요, 온도별로 사우나가 다양하게 마련되어있고, 급냉탕도 있더라구요",-,-
25,상암불꽃,-,scrub,-,-,-
26,선수촌사우나,-,"cold-bath,parking,scrub","주차 아저씨의 친절함이 일단 좋았고,|냉탕은 구석 불편한 동선에 진짜 작고 가기 불편한데 높이는 허리까지 오고 신기하게도 냉탕들어갔다 나오니 토",-,-
27,설해원,온40 냉20 노천42,"cold-bath,dry-sauna,hot-bath,open-air-bath,outdoor-rest,very",아쉬운대로 경원재라도|오늘 설해원&면역공방 다녀왔는데 최고였어요,-,-
28,소노캄,냉23 건75 습54,"cold-bath,dry-sauna,open-air-bath,wet-sauna","고양 소노캄 사우나 추천입니다|크진 않아도 습식, 건식 모두 있는데 전 습식이 특히 좋았어요",-,-
29,솔로사우나,-,"cold-bath,dry-sauna,hot-bath,indoor-rest,jjimjilbang,massage",저도 솔로 사우나 레포 좋았어요|사우나 내부 손잡이는 열전도율이 낮은 소재로 감싸져있는 디테일 포인트도 좋았습니다,-,"포인트가 얼음에 물수건이랑 물 담아서 준비해 주신 부분이었습니다,, 차가운 물수건을 사우나"
30,쉐레이,온40 건95|100 습52,"aufguss,bulgama,cold-bath,dry-sauna,food,hot-bath,indoor-res",👍👍 암반수 냉탕 수질 쵝오~♥️  작은 규모지만 관리가 잘 되는 느낌을 주었으며 갠적으로|작은 규모지만 관리가 잘 되는 느낌을 주었으며 갠적으,-,-
31,스파디움,-,"cold-bath,dry-sauna,hot-bath,open-air-bath",사우나 후에 이 팩 하니 좋았어요|거즈면 떼지않고 붙이니 머리말릴때도 머리카락 안달라붙고 좋더라구요ㅎㅎ 추천 드려봅니다🤭,13000,개운했습니다ㅋㅋ  수건도 쌓아두어서 눈치보지않고 쓸 수 있고 어메니티 비치된것도 나쁘지않고
32,신라호텔,-,"outdoor-rest,wet-sauna",-,-,-
33,신북온천,열42,"cold-bath,hot-bath,indoor-rest,massage,open-air-bath,very-ho","으로 시설이 넓고 깨끗한 편이었으며, 노천탕은 크지는 않지만 공기가 좋고 쾌적한 분위기였습|능했고, 전체적인 관리 상태나 분위기는   도고파라다",-,-
34,실로암사우나,-,"cold-bath,food,scrub,very-hot-bath",식 오래됐음에도  관리 깨~~~~에끗해~(사랑)  추가로 사우나앞에  진우식당 백반 무조건 | 탕 종류도 5개 정도 있도 사우나도 있어서 좋았습,-,-
35,아난티,-,open-air-bath,-,-,-
36,아쿠아필드,-,"jjimjilbang,parking","오늘 생일 기념으로 아쿠아필드 하남 다녀왔는데, 평일에도 너무 사람 많을까봐 걱정했는데 너무 만족하고 와서 후기 남겨요",-,-
37,안토사우나,온38 열41 냉19,"bulgama,cold-bath,dry-sauna,hot-bath,indoor-rest,open-air-ba","진짜 생맥주 관리 잘 되어 있고, 그 한잔을 사우나 후에 마시잖아요? 약간 발꼬락끝까|작지만 깔끔하고 수질 관리가 잘 되는 편입니다.  다만 지",-,-
38,영빈호텔,-,cold-bath,"냉탕 온도가 덜 차가운게 살짝 아쉬웠는데, 전반적으로 시설이 쾌적했었어서 추천드립니다",-,-
39,오라카이,냉21,"cold-bath,dry-sauna,food,hot-bath,jjimjilbang,open-air-bath,",", 시설 깔끔하고 수질도 공간도 쾌적했습니다.   다만, 저는 냉탕 온도 더 낮은걸 좋아해 | 다만, 저는 냉탕 온도 더 낮은걸 좋아해서, 굳이",-,아쉬운점은 ... 수건이 너무 작아서 머리듀건이 잘안됏던 점 ㅠㅠㅋㅋㅋ 앞으론 헤어캡만 하
40,우리유황,-,"bulgama,cold-bath,dry-sauna,food,hot-bath,indoor-rest,massag",~~에끗 했어요. 수질??  말해모해 온천인데 ~👍👍👍 최근 다녀본 사우나중 외기욕 공간이|리 굿굿굿~👍👍👍 관리가 쉽지않을 규모임에도 깨~~에,-,-
41,우이령불가마,냉11 건87 습67,"bulgama,cold-bath,dry-sauna,hot-bath,jjimjilbang,very-hot-ba",".  탕들은 물은 깨끗했고, 냉탕 온도가 무려 11도입니다 11도….!!!!  시설은 찜질 | 재방문의사 : 냉탕때문에 올수도있겠다",-,-
42,월문온천,-,open-air-bath,-,-,-
43,웨스틴조선,열43 냉18,"cold-bath,dry-sauna,hot-bath,massage,scrub,very-hot-bath,wet","습니다.   물도 깨끗, 교양넘치고 흰머리 넘치고 피부 깨끗하고 19호정도로 밝은 ,온몸에 | 그거 하고나서 얼음미스트샤워를 샤악 한 후 ><냉",27500|17000,"락커 중간중간에 수건과 가운이 있는데, 그게 없더라구요. 그래서 또 머쓱할뻔했는데 상당히|심지어 습식사우나 공사중이었음(3/13일기준)  건식하나 83도 정도_그래도 바닥 사이즈"
44,유천스파,-,"bulgama,cold-bath,wet-sauna",-,-,-
45,율암온천,열44,"bulgama,cold-bath,hot-bath,jjimjilbang,open-air-bath,tattoo-",암온천과 비교해서 수질 관리는 잘 되고 있는 느낌이나 온천수는 율암이 더 부드러운 느낌이었|에 다른 미지근한 물이 있는 탕이 크게 있고 깊지 않,-,-
46,제일유황,-,"indoor-rest,open-air-bath",-,-,-
47,조선팰리스,-,"cold-bath,dry-sauna,hot-bath,scrub,wet-sauna","5성 호텔 사우나인데 세신 서비스가 있는게 조선 다웠고, 고급스럽고 한가했으나, 파우더룸에 의자가 없는게 아쉬웠습니다",-,-
48,척산온천,-,"cold-bath,indoor-rest",-,-,-
49,청춘목욕탕,-,"cold-bath,dry-sauna,food,hot-bath,indoor-rest,jjimjilbang,sc","이라 신삥새삥 완전깨끗 쥔장님 겁나 친절 건식, 습식사우나 쵝오~!!  단점은 오후 6시|친절히 맞아주시고 깨끗합니다~!! 요런 동네 목욕탕이 ",-,동네 목욕탕인데 공사하고 새로 오픈한지 얼마안되서 겁~나 깨끗해요. 쥔장님 몹시도 친절(|바로 붙어 있어서 수건으로 열탕의 온기를 적셔서 목에 배고 자면 찜질이 되는 느낌입니다.
50,클럽케이,-,"cold-bath,jjimjilbang,open-air-bath,outdoor-rest,wet-sauna","좋네요 구축이라도 관리가 철저한곳, 사람많지 않은곳 여기 디벨로퍼중에, 노천탕있는 아파트 | 그러게요 최근 추천한데들 가보면 제 시선에선, 한두",-,-
51,파크로쉬,-,"dry-sauna,indoor-rest,open-air-bath","최근 간 곳들은 토토파, CYCL, FUUA 등이고, 한국에서 제일 좋았던 곳은 파크로쉬 입니다|개인적으로는 파크로쉬와 비슷한 수준의 목욕탕·사",-,"파크로쉬도 수건을 자유롭게 쓸 수 있는데, 수건을 잠시 걸어둘 행거가 네개 뿐이다"
52,풍림사우나,-,"dry-sauna,very-hot-bath,wet-sauna",-,-,-
53,프리마스파,온41 열43 냉13 건100 노천42,"cold-bath,dry-sauna,hot-bath,indoor-rest,massage,open-air-ba",놨는데 살짝 나무 관리상태가 안 좋아서 그 부분은 아쉬웠고요. 외부에 눈이 와서 미끄럼 방|갔는데 야외 온천관리와 사우나 온도가 너무 좋더라구요,28000,"식 사우나 내부에 수건을 전부 깔아놨는데 살짝 나무 관리상태가 안 좋아서 그 부분은 아쉬웠|고퀄이에요 두곳다 24시간이라 시간제약없이갈수있어서 좋아요!|후기]  남자: 24시간  여자: 06시부터 오픈, 24시까지  28,000원 입욕권 +"
54,하이디하우스,온38|40|42 냉19|25 건70|80 습45 노천38,"cold-bath,dry-sauna,food,open-air-bath,self-loyly,wet-sauna",시설은 국내 사우나 중에서는 최고로 다양하고 좋은것같은데 가격이 10만원이라 그부분은 아쉽네요|루틴하기에 동선이 아쉬웠습니다,-,-
55,한화리조트,-,dry-sauna,-,-,-
56,해미안,-,"cold-bath,food,open-air-bath,outdoor-rest","해미안도 추천이 좀 있던데, 저 3번정도 가봣는데 노천탕이 좀 더럽습니다",-,-
57,허심청,-,"bulgama,cold-bath,food,open-air-bath,outdoor-rest",있는 것도 좋아요 수질도 매끈하고요 청결상태나 시설이 좀 아쉽지만 콘텐츠 자체가 좋기에 종|수질도 매끈하고요 청결상태나 시설이 좀 아쉽지만 콘텐,-,-
58,홍삼스파,-,-,건너편에 해물칼국수 기가막힌집이 있었는데 폐업해서… 근처 통일동산쪽에 최고야짬뽕 맛있습니다,-,"홍삼은 24시간, 가야랜드는 6시넘으면 못들어가십니다. 9to6 직장인이시라면|막힌집이 있었는데 폐업해서… 근처 통일동산쪽에 최고야짬뽕 맛있습니다"
59,황금스파,-,open-air-bath,-,-,-
60,휘경인삼,-,food,고 제 기준 냄새/위생이 너무 안좋은것 같아요 수압도 약하고…ㅠㅠ 진짜 이런줄 알았으면 안,-,-
61,힐스파,-,"cold-bath,dry-sauna,hot-bath,indoor-rest,jjimjilbang,open-ai",코로나 이전보다 관리가 조금 덜 되는거같아 요즘은 잘 안가지더라구요 ..ㅠ 주말 피해서|래된 곳인데 항상 깨끗하고 프라이드를 잘 유지해주는 곳 ,-,길 수있는 곳이며 24시 찜질방도 운영하여 1박2일로도 온천과 찜질을 즐길 수 있는곳입니다
